Country,Capital,Lat,Lon
Albania,Tirana,41.32,19.82
Andorra,Andorra la Vella,42.50,1.52
Armenia,Yerevan,40.17,44.50
Austria,Vienna,48.20,16.37
Belarus,Minsk,53.90,27.57
Belgium,Brussels,50.83,4.33
Bosnia and Herzegovina,Sarajevo,43.87,18.42
Bulgaria,Sofia,42.68,23.32
Croatia,Zagreb,45.80,16.00
Cyprus,Nicosia,35.17,33.37
Czech Republic,Prague,50.08,14.47
Denmark,Copenhagen,55.67,12.58
Estonia,Tallinn,59.43,24.72
Faroe Islands,Torshavn,62.00,-6.77
Finland,Helsinki,60.17,24.93
France,Paris,48.87,2.33
Georgia,Tbilisi,41.68,44.83
Germany,Berlin,52.52,13.40
Greece,Athens,37.98,23.73
Vatican City,Vatican City,41.90,12.45
Hungary,Budapest,47.50,19.08
Iceland,Reykjavik,64.15,-21.95
Ireland,Dublin,53.32,-6.23
Italy,Rome,41.90,12.48
Kosovo,Pristina,42.67,21.17
Liechtenstein,Vaduz,47.13,9.52
Lithuania,Vilnius,54.68,25.32
Luxembourg,Luxembourg,49.60,6.12
Macedonia,Skopje,42.00,21.43
Malta,Valletta,35.88,14.50
Moldova,Chisinau,47.00,28.85
Monaco,Monaco,43.73,7.42
Montenegro,Podgorica,42.43,19.27
Netherlands,Amsterdam,52.35,4.92
Norway,Oslo,59.92,10.75
Poland,Warsaw,52.25,21.00
Portugal,Lisbon,38.72,-9.13
Romania,Bucharest,44.43,26.10
Russia,Moscow,55.75,37.60
San Marino,San Marino,43.93,12.42
Serbia,Belgrade,44.83,20.50
Slovakia,Bratislava,48.15,17.12
Slovenia,Ljubljana,46.05,14.52
Spain,Madrid,40.40,-3.68
Sweden,Stockholm,59.33,18.05
Switzerland,Bern,46.92,7.47
Turkey,Ankara,39.93,32.87
Ukraine,Kyiv,50.43,30.52
United Kingdom,London,51.50,-0.08
